id,name,dob,email,phone,college id,dept id,design
901,Titus,1965/7/19,jdhedden@gmail.com,9828545466,71,122,101
902,Jacinto,1974/10/16,grady@att.net,9077650668,71,121,102
903,Tessie,1990/5/20,pspoole@optonline.net,9785200676,71,122,102
904,Kathi,1990/10/25,sherzodr@gmail.com,9952709667,71,121,103
905,Birdie,1980/2/17,nighthawk@mac.com,9307000925,71,122,103
906,Nguyet,1984/4/20,violinhi@sbcglobal.net,9214482224,72,124,101
907,Perla,1974/8/2,qrczak@live.com,9215836145,72,123,102
908,Abram,1965/8/15,matloff@comcast.net,9318945556,72,124,102
909,Virgina,1967/10/28,symbolic@sbcglobal.net,9885831752,72,123,103
910,Shameka,1967/11/19,jdhedden@yahoo.ca,9819640642,72,124,103
911,Lauri,1969/12/8,budinger@yahoo.ca,9539264913,73,222,101
912,Danika,1984/3/19,andrewik@sbcglobal.net,9359701013,73,221,0
913,Gay,1988/4/12,barlow@sbcglobal.net,9855351278,73,222,102
914,Margie,1981/1/30,tlinden@live.com,9894886379,73,221,103
915,Kaycee,1976/6/24,skythe@outlook.com,9117116870,73,222,103
916,Esperanza,1977/2/19,danny@live.com,9198486930,74,224,101
917,Kera,1968/8/2,trieuvan@me.com,9965138114,74,223,102
918,Machelle,1990/5/24,bachmann@outlook.com,9864631461,74,224,0
919,Don,1986/10/8,kosact@verizon.net,9648995896,74,223,103
920,Harly,1986/1/25,makarow@live.com,9183593329,74,224,103
921,Evelyn,1967/2/27,kjohnson@icloud.com,9654845121,71,121,103
922,Adell,1967/11/16,cmdrgravy@sbcglobal.net,9587116654,71,122,103
923,Edwina,1972/6/10,howler@yahoo.ca,9658412068,72,123,103
924,Davina,1977/1/13,rsteiner@icloud.com,9040031254,72,124,103
925,Raymonde,1965/1/24,breegster@mac.com,9045216308,73,221,103
926,Judi,1985/5/23,fudrucker@hotmail.com,9651799980,73,222,103
927,Houston,1979/3/5,caidaperl@gmail.com,9045179333,74,223,103
928,Caren,1983/5/12,uqmcolyv@icloud.com,9051652561,74,224,103
,,,,,,,
,,,,,,,
