id,name,dob,email,phone,college_id,cdept_id,desg_id
1001,Lulu,1985-12-01,world@mac.com,9519908266,223,221,1101
1002,Marnie,1985-04-09,matloff@me.com,9220104764,223,222,1102
1003,Lakiesha,1985-04-23,imightb@sbcglobal.net,9708019730,223,222,1102
1004,Merideth,1985-06-08,cgcra@mac.com,9613558688,212,321,1101
1005,Pearlene,1985-07-26,empathy@hotmail.com,9266593998,212,322,1102
1006,Yuriko,1985-10-22,richard@me.com,9516261712,212,321,1101
1007,Mazie,1986-02-06,mfburgo@icloud.com,9308079982,212,322,1102
1008,Minta,1986-07-12,odlyzko@yahoo.com,9525792692,434,521,1101
1009,Loise,1986-08-19,ubergeeb@live.com,9360031541,434,522,1102
1010,Jettie,1986-11-19,wiseb@live.com,9460497299,434,521,1102
1011,Martha,1986-11-20,cfhsoft@hotmail.com,9193074135,365,621,1101
1012,Usha,1987-01-03,pkilab@comcast.net,9585071523,365,622,1102
1013,Samual,1987-01-30,curly@msn.com,9999414490,365,621,1101
1013,Samual praveen,1987-01-31,curaaly@msn.com,9999414478,365,622,1102
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
