id,roll_no,name,date of birth,gender,email,mobile,address,academic_year,cdept_id,college_id,,,,,,
100,PPIT4001,Nancie,1996-01-29,M,presoff@live.com,9519908266,49/ BharatGarh/ Kolkata - 283049,2014,221,223,,,,,,
101,PPIT4002,Michale,1996-03-01,M,moonlapse@verizon.net,9220104764,40/ Rupesh Chowk/ Vadodara - 153761,2014,221,223,,,,,,
102,PPIT4003,Mamie,1996-05-13,M,aglassis@sbcglobal.net,9708019730,55/ Mansarovar/ Mumbai - 412811,2014,221,223,,,,,,
103,PPIT4004,Renita,1996-06-09,F,tkrotchko@outlook.com,9613558688,72/ Preshita Apartments/ Aundh Raipur - 448415,2014,221,223,,,,,,
104,PPIT4005,Eleonora,1996-09-21,F,offthelip@yahoo.ca,9266593998,12/ Indira Apartments/ Bandra Ahmedabad - 167139,2014,221,223,,,,,,
105,PPIT4006,Bettyann,1996-11-06,M,jgmyers@mac.com,9516261712,52/ Lalita Society/ Ujwal Chowk Hyderabad - 401487,2014,221,223,,,,,,
106,PPIT4007,Valery,1997-03-22,F,fraterk@hotmail.com,9308079982,36/ HimaniPur/ Chennai - 205290,2014,221,223,,,,,,
107,PPIT4008,Carey,1997-04-06,M,bahwi@live.com,9525792692,55/ Faisal Villas/ LeelawatiGarh Jabalpur - 577132,2014,221,223,,,,,,
108,PPIT4009,Allison,1997-04-07,M,paley@me.com,9360031541,37/ Shweta Villas/ Malik Chowk New Delhi - 578538,2014,221,223,,,,,,
109,PPIT4010,Lyda,1997-05-10,M,klaudon@yahoo.com,9460497299,54/ Mehul Heights/ Preshita Nagar Simla - 492521,2015,221,223,,,,,,
110,PPIT4011,Tonya,1997-06-29,F,ebassi@me.com,9193074135,26/ TrishanaGarh/ Pondicherry - 532964,2015,221,223,,,,,,
111,PPIT4012,Verla,1997-08-08,F,thowell@msn.com,9585071523,26/ Harmada/ Patna - 209707,2015,221,223,,,,,,
112,PPIT4013,Mira,1997-08-16,M,noahb@yahoo.ca,9999414490,43/ Aishwarya Villas/ BijoyGunj Gurgaon - 228753,2015,221,223,,,,,,
113,PPIT4014,Lora,1997-10-07,F,boser@verizon.net,9462124207,62/ SahilPur/ Raipur - 265330,2015,221,223,,,,,,
114,PPIT4015,Margorie,1997-12-06,M,bradl@comcast.net,9883799383,57/ Kirti Villas/ Sheetal Chowk Jaipur - 434191,2015,221,223,,,,,,
115,PPIT4016,Mohammed,1998-01-01,M,ahuillet@gmail.com,9531014361,3/ SiddharthPur/ Ratlam - 248280,2015,221,223,,,,,,
116,PPIT4017,Dorthey,1998-08-18,M,choset@gmail.com,9934522877,98/ Amrit Heights/ Umesh Chowk Delhi - 535975,2015,221,223,,,,,,
117,PPIT4018,Madaline,1998-09-09,F,harpes@sbcglobal.net,9650706250,88/ Cyber City/ Pune - 524512,2015,221,223,,,,,,
118,PPEC4001,Duncan,1998-11-06,F,harryh@optonline.net,9075122186,69/ Sona Apartments/ Malad New Delhi - 253747,2015,221,223,,,,,,
119,PPEC4002,Sage,1999-02-18,M,knorr@outlook.com,9761553562,89/ NikitaGarh/ Jabalpur - 437704,2016,221,223,,,,,,
120,PPEC4003,Winnie,1999-03-01,F,rogerspl@live.com,9741963906,36/ BaberGunj/ Pondicherry - 401182,2016,221,223,,,,,,
121,PPEC4004,Olinda,1999-03-27,M,mirod@aol.com,9120170501,56/ Javed Apartments/ Bandra Ahmedabad - 146141,2016,221,223,,,,,,
122,PPEC4005,Alisa,1999-05-12,M,kmself@aol.com,9177087294,67/ Sodala/ Ahmedabad - 560308,2016,221,223,,,,,,
123,PPEC4006,Danuta,1999-06-01,M,jfmulder@aol.com,9540412852,10/ Afreen Chowk/ Ludhiana - 593711,2016,221,223,,,,,,
